SalesID,SalePrice
1222837,31349.811070787313
1222839,35091.42342662328
1222841,31767.873514887004
1222843,31408.70487601176
1222845,32875.9051314494
1222847,32206.39456680772
1222849,31369.04401145113
1222850,31400.1009967351
1222855,31453.352477029606
1222863,32812.69126462407
1222864,31444.8814210408
1222865,35610.071249000786
1222867,35055.32235421945
1222879,35619.53602788848
1222883,35058.109298161406
1222905,34500.88131948939
1222908,34047.48512481846
1222910,34014.03817306872
1222911,31465.81142974383
1222917,31342.199848380813
1222918,31402.57794856833
1222919,31381.483349815186
1222920,31342.199848380813
1222926,31342.199848380813
1222969,35062.126403232745
1222973,31418.94292947318
1222977,31342.199848380813
1222978,31342.199848380813
1222980,35049.73631392344
1222981,34517.1008983354
1222984,35594.79955513304
1222990,31342.199848380813
1222993,31416.28880881908
1222997,31439.836267892213
1222999,31074.44260520878
1223003,35649.328526864934
1223014,34462.40840258234
1223039,31335.675943461014
1223040,31337.8505784343
1223041,31062.62154536415
1223042,31062.62154536415
1223043,31337.8505784343
1223057,33395.513843935565
1223058,31158.266468273825
1223059,34509.489675928955
1223060,33454.86048491148
1223067,31361.960031392635
1223069,34536.40824559599
1223070,33495.62828130892
1223072,32372.671206912375
1223073,33322.98465108534
1223074,34595.452996070846
1223075,32192.203581206384
1223076,32955.88586017804
1223077,32297.072793969302
1223078,30907.26973251847
1223079,31474.069089795812
1223080,30971.89945726085
1223081,31578.38483664056
1223082,32433.426670226152
1223083,34454.7971801759
1223084,29927.54706381366
1223091,34477.08676216181
1223094,33361.65733593865
1223095,31876.796544428566
1223099,31517.41104024998
1223101,33922.124028275604
1223115,35050.65349816845
1223116,29984.830786366598
1223117,31659.316590200993
1223118,35037.57157646108
1223121,34489.98000230605
1223124,35054.36423557589
1223129,31079.900725738727
1223130,31085.775011736318
1223141,34491.489454810624
1223145,31371.595369880903
1223147,37306.75645136798
1223148,34472.74708621076
1223149,37292.65564921999
1223150,36171.44702397485
1223151,36732.1834136917
1223152,36181.44714681839
1223154,36745.98232533864
1223164,34483.01136324264
1223165,34501.01158436097
1223169,31336.763260947657
1223176,30526.447444357094
1223177,31410.16188137571
1223179,31441.407548222574
1223180,31334.58862597437
1223181,31426.46396842634
1223182,31416.803472396336
1223184,32942.73400903703
1223185,34456.31921145145
1223186,34454.7971801759
1223187,34470.28164711979
1223192,30495.26467136445
1223193,30572.523482062737
1223195,34466.269019211526
1223198,34459.35069523181
1223209,31413.25625901029
1223211,34471.57726051973
1223212,34475.65278228221
1223215,31334.58862597437
1223217,34499.401501689455
1223226,31360.123530845274
1223227,31438.074173941393
1223229,32859.985311046825
1223244,33894.26802034385
1223245,33894.56991084467
1223246,34466.124043511576
1223252,34450.61996221752
1223269,32878.70145607623
1223270,33444.12972732866
1223271,32901.39355873014
1223272,33408.50664821803
1223273,33470.582882473245
1223277,31370.796298095607
1223279,31584.326476846123
1223289,35586.6282575879
1223293,35675.52797453455
1223303,31351.602159773
1223306,33361.893774168915
1223308,31859.997234670212
1223309,32298.807598321
1223310,32368.02857443178
1223311,31894.211491443217
1223313,32445.40059406776
1223318,34565.32577380282
1223319,36159.11876249104
1223320,33999.67108467524
1223322,34447.1859577694
1223328,31076.82489642559
1223329,34447.1859577694
1223333,35595.79114597454
1223335,34464.36855878099
1223338,34477.13046802499
1223339,34470.97241348913
1223341,33971.35627144133
1223343,31506.85382704297
1223344,31757.467673289357
1223346,33886.83396675822
1223356,35040.961235376424
1223357,33385.110134395305
1223358,32182.473582101637
1223360,34511.17416519718
1223361,34494.916850038455
1223364,34529.75300977565
1223371,31663.22752191359
1223377,34462.979350793525
1223382,36165.10625742632
1223383,37286.566458089044
1223384,36734.471683961805
1223385,36726.48416445777
1223400,34448.840812333045
1223408,34507.903684770456
1223411,31076.81231765484
1223431,35577.911169373314
1223436,34465.054847987485
1223440,35584.59049670666
1223451,31333.210930728936
1223458,35580.35699411412
1223459,33883.97155019082
1223460,35016.765223409515
1223468,35578.99848685996
1223479,29945.943196379696
1223483,31160.215111730387
1223484,30513.213511370588
1223485,31433.783747045323
1223486,31510.011098532006
1223488,35061.43947435671
1223489,32263.594075457542
1223492,34499.14886024315
1223493,34499.513644598424
1223495,33880.19237573759
1223512,31097.152190155466
1223518,35013.09222231479
1223519,34446.098640282755
1223520,33931.41313073004
1223523,31119.051830244134
1223524,31326.97740356787
1223526,34451.11053428147
1223535,32794.63198714459
1223547,33963.88448154321
1223548,31352.6255173767
1223549,35039.91016181465
1223550,34476.388320543454
1223551,35034.35738066828
1223558,34515.2496869599
1223580,33909.97186958417
1223592,31326.97740356787
1223593,31538.615223495755
1223595,32379.70167380129
1223596,31489.34417798859
1223597,31550.65310722054
1223626,34472.9291585536
1223627,35035.23789462948
1223634,32858.638316534925
1223635,33930.135639292654
1223647,34462.23016773281
1223648,32761.084405227914
1223650,37284.22680670675
1223651,33913.15429861494
1223652,31338.222824727884
1223653,33355.28586865682
1223665,31225.410881161923
1223667,36184.804612612585
